district,region,Local_R2,latitude,longitude
Tema West Municipal,Greater Accra,0.7341094791715388,5.65076355,-0.0688760444019398
Weija Gbawe Municipal,Greater Accra,0.8524105016005059,5.55414475,-0.296466750643799
Bunkpurugu Nakpanduri,North East,0.9753832405343221,10.632198,-0.180118
Chereponi,North East,0.9788382317392951,10.1792653999999,0.207987165887793
East Mamprusi Municipal,North East,0.9751044561294651,10.45279035,-0.416678651029704
Mamprugu Moagduri,North East,0.9697028586744758,10.23964,-1.27428
West Mamprusi Municipal,North East,0.9737975770283728,10.29738455,-0.764055036110824
Yunyoo Nasuan,North East,0.9769301156035493,10.4415225,-0.0276844142154081
Gushegu Municipal,Northern,0.9775193447902512,9.9185016,-0.2164706
Karaga,Northern,0.9766812874572106,9.9267799,-0.4316607
Kpandai,Northern,0.9749073580922337,8.4635789,-0.0119853
Kumbungu,Northern,0.9666321545732652,9.5591282,-0.9467086
Mion,Northern,0.9639698494181753,9.45284905,-0.335525511842833
Nanton,Northern,0.9697655317180746,9.55848269999999,-0.710728600167338
Nanumba North Municipal,Northern,0.970767224105969,8.92200959999999,-0.138644700894755
Nanumba South,Northern,0.9735940349152553,8.76637935,0.0549741822848612
Saboba,Northern,0.978985907758199,9.70870525,0.196098328672698
Sagnarigu Municipal,Northern,0.9648890124820344,9.48585935,-0.855049753344912
Savelugu Municipal,Northern,0.9708009954547695,9.6260647,-0.8258943
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,Northern,0.956673280694814,9.40078,-0.8393
Tatale Sanguli,Northern,0.9780920700974292,9.34906725,0.514632473680653
Tolon,Northern,0.970403482800288,9.555956,-1.19792230212529
Yendi Municipal,Northern,0.9731070280629072,9.4739214,0.022769270127783
Zabzugu,Northern,0.976314911017345,9.294058,0.367064
Biakoye,Oti,0.9746871401715689,7.39217985,0.262973639210098
Guan,Oti,0.9713806174167284,7.19092,0.60951
Jasikan Municipal,Oti,0.9736095371950089,7.40707195,0.466071316332564
Kadjebi,Oti,0.9738872500932119,7.7210325,0.534053201682814
Krachi East Municipal,Oti,0.974712443382368,7.69817,0.22447
Krachi Nchumuru,Oti,0.9755777688495835,8.1892008,-0.0866133771431008
Krachi West Municipal,Oti,0.9752420150579859,7.8,-0.01667
Nkwanta North (Kpassa),Oti,0.9752590693410175,8.4892994,0.3094664
Nkwanta South Municipal,Oti,0.9751389921921554,8.25811615,0.509975335946734
Bole,Savannah,0.9825797596775803,8.69166865,-2.17855621492469
Central Gonja,Savannah,0.9669002547810214,8.93715119999999,-1.10983922943129
East Gonja Municipal,Savannah,0.979584671677421,8.347473,-0.7895018232454
North East Gonja,Savannah,0.9650122075065223,8.98787705,-0.403868101269744
North Gonja,Savannah,0.9650122075065223,8.98787705,-0.403868101269744
Sawla Tuna Kalba,Savannah,0.9777374347212787,9.4809443,-2.41330933679435
West Gonja,Savannah,0.9746549878649365,9.5267018,-1.5071681
Bawku Municipal,Upper East,0.9716393300717929,11.0607602,-0.2422876
Bawku West,Upper East,0.9711381175586812,10.84277,-0.492947618512454
Binduri,Upper East,0.9719134109768012,10.9694889,-0.3062234
Bolgatanga East,Upper East,0.966423463028905,10.7853963,-0.8487322
Bolgatanga Municipal,Upper East,0.966423463028905,10.7853963,-0.8487322
Bongo,Upper East,0.9653553280971874,10.9166838999999,-0.805767855895511
Builsa North Municipal,Upper East,0.9623987062039054,10.73472,-1.29056
Builsa South,Upper East,0.9653587510455568,10.53032385,-1.26246582508358
Garu,Upper East,0.9742005078579211,10.76975475,-0.21182067584702
Kasena Nankana Municipal,Upper East,0.9604670667249233,10.895598,-1.30768
Kasena Nankana West,Upper East,0.9604670667249233,10.895598,-1.30768
Nabdam,Upper East,0.9687123180920605,10.8469045,-0.661562047243897
Pusiga,Upper East,0.9720071554009572,11.0854045,-0.1276855
Talensi,Upper East,0.9716911523911245,10.6451057499999,-0.62587443176215
Tempane,Upper East,0.9740467694602206,10.9030714,-0.0914351270233069
Daffiama Bussie Issa,Upper West,0.9650923468972479,10.36748405,-2.26222672458466
Jirapa Municipal,Upper West,0.9621377898485948,10.5366328,-2.7008646
Lambussie Karni,Upper West,0.9558904898110359,10.846747,-2.708741
Lawra Municipal,Upper West,0.9609491780042962,10.61348995,-2.86412434170417
Nadowli Kaleo,Upper West,0.9670255692859175,10.2868347,-2.6394776056347
Nandom,Upper West,0.9559951246633871,10.8520701,-2.760077
Sissala East Municipal,Upper West,0.9620446539103964,10.59705475,-1.85050542952138
Sissala West,Upper West,0.9583833467716462,10.7467085,-2.29346951572635
Wa East,Upper West,0.9709607320932087,10.06069,-2.50192
Wa Municipal,Upper West,0.9709259690586636,10.0623261,-2.5054273
Wa West,Upper West,0.9724086492271204,9.8985772,-2.6832633
Adaklu,Volta,0.8925659180792996,6.4470511,0.6286474
Afadzato South,Volta,0.9675402053796662,7.0222497,0.561946
Agortime-Ziope,Volta,0.8948931164215417,6.42618935,0.732357165932429
Akatsi North,Volta,0.8764136286540402,6.3108306,0.876439062223793
Akatsi South Municipal,Volta,0.9751376279207145,8.25846,0.508747
Anloga,Volta,0.8119224928500773,5.7936484,0.8984702
Central Tongu,Volta,0.8564068298732164,6.16884364999999,0.611561745917151
Ho Municipal,Volta,0.924805993982348,6.6126598,0.4688932
Ho West,Volta,0.9202703206971803,6.590707,0.46714
Hohoe Municipal,Volta,0.971788175636808,7.153187,0.477735
Keta Municipal,Volta,0.8215138371447316,5.9215688,0.9910728
Ketu North Municipal,Volta,0.8638698358413823,6.192057,0.981151401381816
Ketu South Municipal,Volta,0.85397961330353,6.07748514999999,1.0706219725046
Kpando Municipal,Volta,0.9651008858816423,7.0000115,0.318327973849328
North Dayi,Volta,0.9589047222328462,6.91384645,0.22267318926127
North Tongu,Volta,0.8920345537068459,6.14399495,0.297188924896433
South Dayi,Volta,0.8751104149041082,6.5449087,0.240546020283373
South Tongu,Volta,0.8404194268974096,5.96577275,0.641061228110148
Ahanta West Municipal,Western,0.9059362803760149,4.8514282,-1.98665461803006
Effia Kwesimintsim Municipal,Western,0.902978776152048,4.96766095,-1.80360599719917
Ellembelle,Western,0.8969815366312568,5.14952214999999,-2.42142536190491
Jomoro Municipal,Western,0.8732196051817005,5.199616,-2.61473434715296
Mpohor,Western,0.907577869796916,4.9705877,-1.8927971
Nzema East Municipal,Western,0.9107823587448836,5.08576495,-2.22263416898707
Prestea/Huni Valley Municipal,Western,0.9336384770060302,5.44481979999999,-2.04050432321944
"Sekondi Takoradi Metropolitan Area (STMA)-Takoradi, Sekondi & Essikado-Ketan",Western,0.898195086023875,4.95328,-1.73308
Shama,Western,0.8971363498593374,5.0606463,-1.64288365568687
