district,region,intercept,working_age_prop,female_pop_prop,women_edu_secondary,women_literacy,no_insurance_women,women_anemia,wife_beating_justified,decision_autonomy,ipv_12months,Local_R2,latitude,longitude
Suhum Municipal,Eastern,53.06398279424192,6.5515023273932655,-0.5678255970549166,28.971182245224625,-0.8774914325337395,2.5210961839680124,-12.823606419285667,8.99590458063997,-10.343323346698565,-2.2367856486665576,0.835596402691213,6.035885,-0.4552751
Upper Manya Krobo,Eastern,40.46933874912689,7.098026922686542,1.1703750070362773,25.246440243014924,6.590455138231793,-26.12938659767353,-12.425358752001955,-5.0726359643281285,6.889951618616573,0.8166448057881439,0.7040019362559011,6.40201115,-0.134429386146108
Upper West Akim,Eastern,51.923414084012144,4.771805654522682,0.40097755251646383,28.465911594078875,0.06320596588074068,3.0073722610465836,-12.594628062891852,7.921909435206004,-9.766514480883739,-2.2633542575226495,0.880053089884467,5.80678025,-0.540057196199224
West Akim Municipal,Eastern,53.33307964280496,7.237328698405246,-0.30894551134013626,29.059470523821126,-0.8391569588970604,2.7832390898104067,-12.679884909665768,9.134589292997225,-10.477563471980211,-1.954211524992795,0.918075996456104,5.9070609,-0.68318054757923
Yilo Krobo Municipal,Eastern,40.1894103796114,6.071818319422884,0.025736612471021658,25.032257841283084,6.3368284096452925,-26.00088821794281,-12.871296410772128,-5.211273129567652,6.145700974004621,0.09216202364843262,0.7390060893136154,6.1564095,-0.167401779755807
Ablekuma Central Municipal,Greater Accra,51.64574321080546,2.3071587796936974,-0.25188698611961513,28.354463852131623,1.4054979014475375,3.57253189961774,-12.615453955076967,6.456397752470799,-9.75986943246911,-2.18199519007968,0.8389688708576009,5.5541808,-0.24078224491606
Ablekuma North Municipal,Greater Accra,51.62486617980228,2.3479834408019684,-0.2253217626835653,28.345332606321914,1.3849726771326623,3.562472159236247,-12.611967344630038,6.475075421173722,-9.744563945230047,-2.1896285949577163,0.8356359694647807,5.58719365,-0.263259064824942
Ablekuma West Municipal,Greater Accra,51.537756236946706,2.2450380127554883,-0.2893542670908289,28.307320056948146,1.4701409253882147,3.6179556218165274,-12.586752308661087,6.387203595730249,-9.693772439910175,-2.1830245844749236,0.8473421248081677,5.5431939,-0.26615017413473
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,51.661355809930605,2.2784141001489733,-0.24047406429539286,28.352513389610664,1.441361453464335,3.575546844032483,-12.620206258163021,6.41148803899558,-9.810935583582394,-2.1621477902713986,0.828405998874392,5.55381875,-0.205849787615075
Ada East,Greater Accra,40.853152302998524,5.357125779169225,-1.6325162297612756,25.263957689892017,6.674017326566469,-26.62220639812448,-12.910855891470545,-5.59632105933567,5.646373951651937,0.654885136555114,0.8435232570411209,5.8761016,0.549568161630084
Ada West,Greater Accra,40.795781574573084,5.1779015644970094,-1.6104526355264532,25.226884326672412,6.744926587343924,-26.51843074546675,-12.914396715768781,-5.682871030832052,5.597123501864279,0.6320154955150965,0.8647762940960666,5.9040093,0.420370257026968
Adentan Municipal,Greater Accra,53.433232601605816,2.6417645267870404,-0.17754820526898385,29.511841777968275,3.1769459305823258,-3.6884984768548232,-10.403216842293261,5.579068360944264,-5.666772978492661,3.6135929321344955,0.7629965256845129,5.7042433,-0.1690967
Ashaiman Municipal,Greater Accra,53.52333772885508,2.773498049996474,-0.3459145655018858,29.515966225637023,3.176640588926615,-3.8483802558828053,-10.430454841651933,5.530929844253713,-5.864663618165258,3.6989592768003803,0.6548514520741747,5.6993574,-0.0348533202566188
Ayawaso Central Municipal,Greater Accra,51.75146607751172,2.41374709559355,-0.19968902580125736,28.39484155058982,1.328090941294061,3.5137234000989066,-12.643378634930636,6.5336601798756835,-9.846480785633412,-2.174813596565536,0.8218957676608724,5.59137939999999,-0.212668442666915
Ayawaso East Municipal,Greater Accra,51.74110884958118,2.376889518022134,-0.2080138927377817,28.385320660116395,1.364852304823792,3.5274414740859705,-12.640044081834336,6.491887948816096,-9.862781308152439,-2.162245199073502,0.8172869347720313,5.5828425,-0.194266228463183
Ayawaso North Municipal,Greater Accra,51.751556637864404,2.399650291038742,-0.20118064085538911,28.39100644511648,1.3460504043955925,3.5171098353271923,-12.643669497943652,6.511800923526005,-9.863975923797112,-2.166569898642753,0.8169433075527336,5.5908829,-0.199044848506062
Ayawaso West Municipal,Greater Accra,51.72277359090602,2.3760009542824765,-0.1989249890116156,28.367431774664936,1.4034598893201835,3.503813311175029,-12.656328047727786,6.422774641414817,-9.913876971538219,-2.16278319493395,0.7940787834677074,5.62669775,-0.179111178909241
Ga Central Municipal,Greater Accra,53.1649039072076,8.273578174899747,3.163821720721688,29.41965322915522,1.8601973614625695,-6.020552942690955,-2.5333569665027484,3.7269290222829596,-7.353592368422905,3.392066199362521,0.9264994905732439,5.3203951,-2.0334832
Ga East Municipal,Greater Accra,51.550629637780304,2.5673930870545147,-0.13328385468856396,28.31585863612818,1.2599332414978726,3.5001783718091986,-12.601988074245313,6.5954874792087015,-9.676756583523847,-2.2310277455937415,0.8315210317317799,5.669162,-0.333376
Ga North Municipal,Greater Accra,51.550629637780304,2.5673930870545147,-0.13328385468856396,28.31585863612818,1.2599332414978726,3.5001783718091986,-12.601988074245313,6.5954874792087015,-9.676756583523847,-2.2310277455937415,0.8315210317317799,5.669162,-0.333376
Ga South Municipal,Greater Accra,51.550629637780304,2.5673930870545147,-0.13328385468856396,28.31585863612818,1.2599332414978726,3.5001783718091986,-12.601988074245313,6.5954874792087015,-9.676756583523847,-2.2310277455937415,0.8315210317317799,5.669162,-0.333376
Ga West Municipal,Greater Accra,51.550629637780304,2.5673930870545147,-0.13328385468856396,28.31585863612818,1.2599332414978726,3.5001783718091986,-12.601988074245313,6.5954874792087015,-9.676756583523847,-2.2310277455937415,0.8315210317317799,5.669162,-0.333376
Korle Klottey Municipal,Greater Accra,51.71349889292039,2.3345079029370224,-0.22705652829489154,28.375757432504894,1.3908169522698888,3.5507412915239875,-12.629969981226115,6.468697065012297,-9.835774462791568,-2.1615075050236237,0.8252076663756228,5.55901944999999,-0.19823054970895
Kpone Katamanso Municipal,Greater Accra,53.18580915083841,2.7830478426876972,-0.29681239997533027,29.39959503140726,3.2831844466160494,-4.305063844876356,-10.51922404202661,5.225345645418578,-5.616342877820131,3.5542556627438455,0.6312267828402023,5.77159775,-0.0733651054089466
Krowor Municipal,Greater Accra,53.61658905059948,2.727032470611385,-0.24012471465252005,29.57804955452703,3.0750519486912458,-3.6303770914794793,-10.36346210333022,5.760389903925941,-5.769553153044653,3.71616293965198,0.7623177794039592,5.60941925,-0.0769277820845922
La Dade-Kotopon Municipal,Greater Accra,51.671499411026645,2.266930624752078,-0.22867449411235086,28.33688951207296,1.5011402590547576,3.557614136282322,-12.635875390791064,6.3197853794276835,-9.917405072129158,-2.1340341928178197,0.7958453781937381,5.58947605,-0.156988356399583
La Nkwantanang Madina Municipal,Greater Accra,53.36338281023655,2.677799143869324,-0.17638062163349488,29.481114845506173,3.20658403988058,-3.8091073816728134,-10.428023199205256,5.494146667814469,-5.648403185138273,3.592064022144659,0.7335196840721194,5.74468145,-0.172508699400876
Ledzokuku Municipal,Greater Accra,53.405987409469205,2.4690270439788837,-0.22602695247642046,29.484023121266276,3.2646402030815302,-3.4732995032046405,-10.383716788977349,5.511529482518199,-5.7393569021261435,3.614005038119502,0.7733725682527348,5.6050983,-0.114493361214251
Ningo-Prampram,Greater Accra,54.11250838903053,4.002091389589873,-0.6652963082570054,29.856144223590707,2.603497626022506,-5.714274526271858,-10.221143135130248,6.213239967703139,-5.25285581344578,4.474969594149484,0.74607802218219,5.81176965,0.146110955005239
Okaikoi North Municipal,Greater Accra,51.716296707186736,2.4248962188811936,-0.19066209904522324,28.382022652382936,1.32551344803589,3.512464204207806,-12.639476959306162,6.532951320500414,-9.815928344206046,-2.187957952607169,0.8237905109608928,5.6104365,-0.2395459
Shai-Osudoku,Greater Accra,40.161426527734335,4.62545244616922,-0.7068413294545941,24.943813830096943,6.804896016897659,-25.697988456611284,-12.99337343596756,-5.826699945856054,5.63933599934778,0.0576082352274816,0.8114989228544903,5.95875335,0.161872328401567
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,53.65118763210859,2.8336945316197935,-0.3655905761392404,29.5661668186221,3.1037774102964644,-3.7744663150539663,-10.395670347364803,5.67233334720161,-5.915822175852696,3.765819900686842,0.6709533482855745,5.6698,-0.01657
Tema West Municipal,Greater Accra,53.60721821237131,2.742274528211147,-0.2685660202658582,29.56689772485562,3.0999527426960363,-3.6727852321245833,-10.382495267938662,5.706026687709091,-5.810164115062948,3.7130825184159244,0.7341094791715388,5.65076355,-0.0688760444019398
Weija Gbawe Municipal,Greater Accra,51.47809345926926,2.2570828911007625,-0.296139633077523,28.283418890957574,1.4704093222881838,3.6307703535451026,-12.569634911683252,6.388692104168397,-9.642629307461494,-2.191425614334535,0.8524105016005059,5.55414475,-0.296466750643799
Bunkpurugu Nakpanduri,North East,26.219340156965877,7.223100154763426,3.516734952065214,-8.092452864044118,11.406129936496455,-28.554499580145016,18.177980539741966,-2.5244755396995835,-13.707106063742742,8.20992078259866,0.9753832405343221,10.632198,-0.180118
Chereponi,North East,63.033875568349025,7.530274984874271,3.424837736182525,-88.43467476852592,69.97509678670936,8.280766748369821,-20.662689555498176,-15.326070726261293,13.278386906518431,-10.259858599121358,0.9788382317392951,10.1792653999999,0.207987165887793
East Mamprusi Municipal,North East,26.237210584749246,7.433903554915623,3.4958086323969795,-8.156109994194644,11.317619553613394,-28.539622682817473,18.15591093665546,-2.5564732144644395,-13.725524122164416,8.310192885183055,0.9751044561294651,10.45279035,-0.416678651029704
Mamprugu Moagduri,North East,17.399440155330076,8.474355869850799,1.9298209253125123,-9.63018271387613,5.633594855537567,-32.5803792062336,8.185632897040747,10.343421204664631,-0.3409570052663171,4.786011030309137,0.9697028586744758,10.23964,-1.27428
West Mamprusi Municipal,North East,17.425892228065685,7.765488369983368,3.353359929765219,-9.440286122029685,6.085093939295786,-32.80615548969437,7.983491278296318,10.615499651009193,-0.6149466998818811,4.846415861054371,0.9737975770283728,10.29738455,-0.764055036110824
Yunyoo Nasuan,North East,63.2336476243234,7.259275096939735,3.549895816860502,-78.30734586436708,62.72910103914245,5.485387236751663,-19.646666645644082,-12.479770814893612,12.496470380110246,-9.459840036165964,0.9769301156035493,10.4415225,-0.0276844142154081
