district_geojson,district_ms,match_method
KORLE KLOTTEY MUNICIPAL,Korle Klottey Municipal,title_case
ABLEKUMA NORTH MUNICIPAL,Ablekuma North Municipal,title_case
AYAWASO NORTH MUNICIPAL,Ayawaso North Municipal,title_case
AYAWASO EAST MUNICIPAL,Ayawaso East Municipal,title_case
OKAIKWEI NORTH MUNICIPAL,Okaikoi North Municipal,manual
GA NORTH MUNICIPAL,Ga North Municipal,title_case
WEIJA GBAWE MUNICIPAL,Weija Gbawe Municipal,title_case
KROWOR MUNICIPAL,Krowor Municipal,title_case
TEMA METROPOLITAN,Tema Metropolitan Area (TMA)-Tema Central & Tema East,manual
EAST GONJA MUNICIPAL,East Gonja Municipal,title_case
ABLEKUMA WEST MUNICIPAL,Ablekuma West Municipal,title_case
AYAWASO CENTRAL MUNICIPAL,Ayawaso Central Municipal,title_case
ACCRA METROPOLIS,"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",manual
ANLOGA,Anloga,title_case
SEKONDI TAKORADI METROPOLIS,"Sekondi Takoradi Metropolitan Area (STMA)-Takoradi, Sekondi & Essikado-Ketan",manual
KWAHU SOUTH,Kwahu South Municipal,manual
ASENE AKROSO MANSO,Asene Manso Akroso,manual
UPPER MANYA,Upper Manya Krobo,manual
ACHIASE,Achiase,title_case
OKERE,Okere,title_case
YILO KROBO,Yilo Krobo Municipal,manual
ATIWA WEST,Atiwa West,title_case
NEW JUABEN NORTH MUNICIPAL,New Juaben North Municipal,title_case
FANTEAKWA NORTH,Fanteakwa North,title_case
BIRIM NORTH,Birim North,title_case
ASUOGYAMAN,Asuogyaman,title_case
KWAHU EAST,Kwahu East,title_case
KWAHU WEST,Kwahu West Municipal,manual
LOWER MANYA,Lower Manya Krobo Municipal,manual
NSAWAM ADOAGYIRI,Nsawam Adoagyiri Municipal,manual
AKWAPEM SOUTH,Akwapim South Municipal,manual
DENKYEMBOUR,Denkyembuor,manual
KWAEBIBIREM,Kwaebibirem Municipal,manual
KWAHU AFRAM PLAINS SOUTH,Kwahu Afram Plains South,title_case
KWAHU AFRAM PLAINS NORTH,Kwahu Afram Plains North,title_case
SUHUM MUNICIPAL,Suhum Municipal,title_case
AYENSUANO,Ayensuano,title_case
ABUAKWA SOUTH,Abuakwa South Municipal,manual
UPPER WEST AKIM,Upper West Akim,title_case
WEST AKIM,West Akim Municipal,manual
AKYEM MANSA,Akyemansa,manual
ATIWA EAST,Atiwa East,title_case
NEW JUABEN SOUTH MUNICIPAL,New Juaben South Municipal,title_case
BIRIM SOUTH,Birim South,title_case
ABUAKWA NORTH,Abuakwa North Municipal,manual
AKWAPEM NORTH,Akwapim North Municipal,manual
FANTEAKWA SOUTH,Fanteakwa South,title_case
BIRIM CENTRAL MUNICIPAL,Birim Central Municipal,title_case
