region,district_ms,Class,Latitude,Longitude,Employed Population,Unemployed Population,Incidence of Poverty,Intensity of Poverty,Illiterate Population,Uninsured Population,Male Population 0-14,Female Population 0-14,Male Population 15-64,Female Population 15-64,Male Population 65+,Female Population 65+,Total Population,latitude,longitude,total_population,poverty_rate,intensity_poverty,uninsured_rate,illiteracy_rate,female_pop_prop,working_age_prop,abr,anc_skilled,decision_autonomy,demand_fp_satisfied,facility_delivery,ipv_12months,modern_cpr,no_insurance_women,no_postnatal_checkup,sba,tfr,unmet_need_fp,wife_beating_justified,women_anemia,women_edu_secondary,women_literacy,pnc_coverage,district,composite_maternal_index,composite_pca,risk_label,data_source_dhs,data_source_census,data_source_geojson
Ashanti,Kwabre East,Municipal,6.7897864,-1.53792852576917,99847,89434,10.6,43.3,38251,72440,54194,53339,85713,93804,3777,5987,296814,6.7897864,-1.53792852576917,296814,10.6,43.3,24.40585686658985,12.887195347928332,51.59123221950447,60.481311528431945,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Kwabre East,83.19096745847834,90.14895461496236,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Kwadaso Municipal,Municipal,6.68059249999999,-1.67467000057054,53272,55768,9.5,42.4,13021,33490,22551,22935,50312,52889,2342,3497,154526,6.68059249999999,-1.67467000057054,154526,9.5,42.4,21.672728214022236,8.426413677957107,51.33181471079301,66.78552476605878,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Kwadaso Municipal,85.16760737610373,92.45118435413887,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Mampong Municipal,Municipal,7.056139,-1.40425,35620,41077,22.5,42.6,24107,34749,20344,19591,34298,36738,2323,3338,116632,7.056139,-1.40425,116632,22.5,42.6,29.79371013101036,20.66928458742026,51.15834419370328,60.906097811921256,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Mampong Municipal,77.32359705396165,82.82135829841806,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Obuasi East,Municipal,6.1796409,-1.60356394182495,29615,31180,13.1,42.7,14306,16076,15730,15876,27879,29934,1318,1664,92401,6.1796409,-1.60356394182495,92401,13.1,42.7,17.398080107358147,15.482516422982433,51.37823183731778,62.56750468068527,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Obuasi East,83.42233176380651,90.19423076116439,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Obuasi Municipal,Municipal,6.211542,-1.6894045,36104,34814,11.1,42.8,12845,20504,16924,16455,33517,34084,1444,1873,104297,6.211542,-1.6894045,104297,11.1,42.8,19.659242355964217,12.315790482947737,50.25264389196238,64.81586239297391,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Obuasi Municipal,84.22166430558478,91.25042187334714,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Offinso Municipal,Municipal,7.05794129999999,-1.73462655987467,42048,43960,23.5,42.8,34107,42296,26183,25081,38040,42369,2346,3253,137272,7.05794129999999,-1.73462655987467,137272,23.5,42.8,30.811818870563553,24.846290576373914,51.50576956699109,58.57640305379101,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Offinso Municipal,75.80364672849542,81.02917765249633,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Offinso North,District,7.27974815,-1.79832745610104,28302,22051,34.3,41.5,31198,27930,16942,16145,22483,24424,1532,1914,83440,7.27974815,-1.79832745610104,83440,34.3,41.5,33.47315436241611,37.38974113135187,50.914429530201346,56.21644295302013,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Offinso North,69.5346455678241,73.26282022664239,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Oforikrom Municipal,Municipal,6.672717,-1.5504236985326,64286,95659,10,42.8,21529,49047,26682,26499,77870,75115,2874,4086,213126,6.672717,-1.5504236985326,213126,10.0,42.8,23.013147152388726,10.1015361804754,49.59507521372334,71.78148137721348,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Oforikrom Municipal,84.33936308760781,91.48689498863655,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Old Tafo Municipal,Municipal,6.74083555,-1.60465968075918,42408,35138,9.2,42.9,13412,28189,18483,18339,34972,38512,1631,2431,114368,6.74083555,-1.60465968075918,114368,9.2,42.9,24.64762870733072,11.7270565193061,51.8344292109681,64.25223838836038,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Old Tafo Municipal,83.76016685762251,90.88251752620303,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Sekyere Afram Plains,District,7.20286155,-0.592081996515861,10858,7985,50.5,40.8,17179,21066,7452,6931,9951,8183,410,299,33226,7.20286155,-0.592081996515861,33226,50.5,40.8,63.402154938903266,51.70348522241618,46.38837055318125,54.577740323842775,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Sekyere Afram Plains,55.837514939932596,56.99176131767666,HIGH,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Sekyere Central,District,7.21625465,-1.09955606489201,23803,21724,39.8,42.4,24179,38329,14277,13424,20482,20859,1731,2455,73228,7.21625465,-1.09955606489201,73228,39.8,42.4,52.342000327743484,33.0187906265363,50.169334134484075,56.45518107827607,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Sekyere Central,65.43243901920664,68.48016960250533,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
